elem,model,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,formation-energy,migration-energy,relaxation-volume,edt11,spedt11,spedt33,spdst11,spdst33,ln_a,ln_cohesive-energy,ln_c11,ln_c12,ln_bulk,ln_shear,ln_volume,ln_bulk*volume,ln_shear*volume,ln_formation-energy,ln_migration-energy,ln_relaxation-volume,ln_edt11,ln_spedt11,ln_spedt33,ln_spdst11,ln_spdst33
Ni,EAM_Dynamo_Mendelev_NiZr__MO_149104665840_002,3.51812114894,4.385508769552925,1.5417701702600433,0.9193637576819739,1.1268325618746637,0.3112032062890347,43.544406122504626,49.06725470633268,13.551158801275312,1.7581178963959436,1.035380577359103,-0.4488536340868464,-0.5057823953787124,2.968653297487462,-3.530521507843857,3.7179907847169464,-6.724018007881002,1.2579270826013393,1.478305644077332,0.432931217508634,-0.08407341591931171,0.11941065425489761,-1.167309183745646,3.773781247804018,3.8931919020589154,2.6064720640583716,0.5642438598107039,0.03476906672279934,-100,-100,1.0881084147923794,-100,1.3131834107369946,-100
Al,EAM_QuinticClampedSpline_Cai_Ye_AlCu__MO_246347493730_000,4.02881718309,3.3147771783345155,0.504697448822537,0.3788394491400914,0.4207921157009065,0.0629289998412228,65.39321387946947,27.516948820823846,4.115129545838183,0.7298699496024441,0.4227676023780521,0.5999425550005287,0.2524510448494731,-0.2241237006383502,-3.2836830076220083,7.117779433593714,-17.191832874854185,1.3934728299228345,1.1983904051900334,-0.6837961404881314,-0.9706427806953724,-0.8656163541863848,-2.7657481747648447,4.1804184897685035,3.314802135582119,1.414670315003659,-0.3148889119400441,-0.8609326542747657,-0.510921370015302,-1.3765379308484902,-100,-100,1.96259579947579,-100
Fe,EAM_Dynamo_Mendelev_Han_VFe__MO_249706810527_002,3.6584048152,3.8924022779800054,0.529199581304781,0.3086975784949379,0.38219824609821895,0.11025100140492153,48.963818563287944,18.713885577160067,5.398310029211382,1.7655825059393102,0.43699514454196686,3.9852788100803176,1.5231669961884997,1.9424574928369536,13.721807241751119,-12.688318492954437,40.73230581277272,1.2970272095646471,1.3590265192034265,-0.6363896379268706,-1.1753931917064806,-0.9618158361498141,-2.204995681658595,3.891081628693941,2.9292657925441272,1.6860859470353462,0.5684806676304404,-0.827833194836221,1.3826072746831606,0.42079171740195753,0.6639539203108165,2.618986336782708,-100,3.707021532205538
O,MEAM_2NN_Fe_to_Ga__MO_145522277939_001,6.7,1.6033360519536157e-18,4.011285276906367e-44,5.0848376872524593e-33,3.389891791515011e-33,-2.5424188436061732e-33,300.76300000000003,1.0195540248914293e-30,-7.646655186595236e-31,0,0,-422497.5663822727,-1.4322210322143345e-27,-1.4322210322143345e-27,-1.4322210322143345e-27,-140832.5221274242,-140832.52212742422,1.9021075263969205,-40.97444518283953,-99.92463238384266,-74.35904495972346,-74.76451006782767,-100,5.706322579190761,-69.05818748863692,-100,-100,-100,-100,-100,-100,-100,-100,-100
Cu,EAM_Dynamo_Cai_Ye_AlCu__MO_942551040047_002,3.61472814006,3.52456766552127,1.0506475518410168,0.7925822715098544,0.8786040316202418,0.1290326401655812,47.23097599591707,41.497325927371605,6.09433753035037,1.2758947320890783,0.6560952788300752,2.4402162696908443,2.1439838745873683,2.4124918671502265,-2.4800114473531236,6.616017840078451,-12.342373460880406,1.2850166494799133,1.259757780663269,0.04940669011731001,-0.23245896598812854,-0.12942095876416385,-2.047689882086386,3.85504994843974,3.725628989675576,1.8073600663533538,0.24364768315662977,-0.42144925846564624,0.8920866704964489,0.7626657219990065,0.8806601830958819,-100,1.889493654222962,-100
Al,EAM_QuinticClampedSpline_Ercolessi_Adams_Al__MO_450093727396_000,4.03208289279,3.3600000012959064,0.7360157724542743,0.3880322503351856,0.5040267577082153,0.17399176105954434,65.55236362134416,33.04014529617606,11.40557118809328,0.6949175083676318,0.6094887452681025,6.608142444543613,3.3306807355138384,3.132558693017999,-1.9472102433085006,5.817778488331741,-8.779949262973647,1.3942830892854183,1.2119409743607994,-0.30650373051783264,-0.9466668233925097,-0.685125921629126,-1.7487473311211694,4.182849267856255,3.497723346227129,2.4341019367350856,-0.3639621334581293,-0.49513479574712915,1.888302592364007,1.2031767081796239,1.1418501444100004,-100,1.7609184858404163,-100
Al,EAM_QuinticHermiteSpline_Ercolessi_Adams_Al__MO_781138671863_000,4.0320824704,3.360000001102998,0.7361028290854669,0.3880037378371993,0.5040367682532886,0.17404954562413377,65.55234302008616,33.04079112727524,11.409355517243352,0.6949166698458952,0.6094909890158442,6.607532662496291,3.3304394465405656,3.1315470351357844,-1.9485502098273724,5.815717068046414,-8.7781079697885,1.394282984528142,1.211940974303386,-0.3063854565809324,-0.9467403058042373,-0.6851060606881916,-1.7484152753334758,4.1828489535844255,3.497742892896234,2.4344336782509495,-0.36396334010817394,-0.4951311143934879,1.8882103107298391,1.203104261213713,1.1415271428723786,-100,1.760564091875694,-100
U,EAM_Dynamo_Smirnova_UMoXe__MO_679329885632_002,4.79967701437,3.877928674842528,3.615046677335859,1.6170404842497053,2.2830425486117565,0.9990030965430768,110.56967673542466,252.43527657322196,110.45944944245625,2.7468969593652073,2.1263811769816856,-1.1815368679768858,-2.6974989469144424,-0.09092951928399812,5.253807977623417,-0.6448369063029876,2.030198598956739,1.5685486269769444,1.3553011643982333,1.2851047676534693,0.48059761692330555,0.8255090045232472,-0.0009974006956678559,4.705645880930833,5.531154885454081,4.704648480235165,1.0104718961676034,0.7544215568786374,-100,-100,-100,1.6589531427506587,-100,0.7081336202668516
Pd,EAM_Dynamo_Hale_Wong_pairHybrid_PdAgH__MO_104806802344_002,3.88485926986,3.910424602748264,1.5394864255373257,1.2512788729009516,1.3473480571130763,0.14410377631818705,58.63080714082226,78.99610408815835,8.448920717575815,1.2471445083115376,0.45348772207742255,8.034323545310187,10.825030285407848,10.303463934163883,5.361764712928252,7.856988593396528,-9.289334370492497,1.3570867591892468,1.3636459621546315,0.43144887089458384,0.2241661266265797,0.2981382583434721,-1.9372215700869564,4.07126027756774,4.369398535911213,2.134038707480784,0.22085654475646233,-0.7907870834926235,2.0837228071339355,2.3818610716128474,2.3324801429857343,1.6792931583825568,2.061403402416702,-100
P,EAM_Dynamo_Ackland_Mendelev_FeP__MO_884343146310_002,4.69809909031,1.8827610067385467,0.5615905790480203,0.4666334107054223,0.4982858001529549,0.04747858417129902,103.69707765772773,51.67078131420397,4.923390429890158,1.1386953933581165,0.8801355767783532,3.4847851935070304,1.7364189410302922,2.0227929629491896,-2.9845275547742425,17.814073984269104,-34.918352686972455,1.547157978034296,0.6327393200789276,-0.5769822016106348,-0.762211317360304,-0.696581470683284,-3.0474765291608685,4.641473934102889,3.9448924634196043,1.59399740494202,0.1298832152989857,-0.12767931885574849,1.2484064048686412,0.551824912602128,0.7044792113513106,-100,2.8799888181541413,-100
