elem,model,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,formation-energy,migration-energy,relaxation-volume,edt11,spedt11,spedt33,spdst11,spdst33,ln_a,ln_cohesive-energy,ln_c11,ln_c12,ln_bulk,ln_shear,ln_volume,ln_bulk*volume,ln_shear*volume,ln_formation-energy,ln_migration-energy,ln_relaxation-volume,ln_edt11,ln_spedt11,ln_spedt33,ln_spdst11,ln_spdst33,surface100,surface121,surface111,surface110,element,lattice,model
Ni,EAM_Dynamo_Mendelev_NiZr__MO_149104665840_002,3.51812114894,4.385508769552925,1.5417701702600433,0.9193637576819739,1.1268325618746637,0.3112032062890347,43.544406122504626,49.06725470633268,13.551158801275312,1.7581178963959436,1.035380577359103,-0.4488536340868464,-0.5057823953787124,2.968653297487462,-3.530521507843857,3.7179907847169464,-6.724018007881002,1.2579270826013393,1.478305644077332,0.432931217508634,-0.08407341591931171,0.11941065425489761,-1.167309183745646,3.773781247804018,3.8931919020589154,2.6064720640583716,0.5642438598107039,0.03476906672279934,-100,-100,1.0881084147923794,-100,1.3131834107369946,-100,0.0877202489681,0.0942671485327,0.0801354227868,0.0989939045343,Ni,fcc,EAM_Dynamo_Mendelev_NiZr__MO_149104665840_002
Al,EAM_QuinticClampedSpline_Cai_Ye_AlCu__MO_246347493730_000,4.02881718309,3.3147771783345155,0.504697448822537,0.3788394491400914,0.4207921157009065,0.0629289998412228,65.39321387946947,27.516948820823846,4.115129545838183,0.7298699496024441,0.4227676023780521,0.5999425550005287,0.2524510448494731,-0.2241237006383502,-3.2836830076220083,7.117779433593714,-17.191832874854185,1.3934728299228345,1.1983904051900334,-0.6837961404881314,-0.9706427806953724,-0.8656163541863848,-2.7657481747648447,4.1804184897685035,3.314802135582119,1.414670315003659,-0.3148889119400441,-0.8609326542747657,-0.510921370015302,-1.3765379308484902,-100,-100,1.96259579947579,-100,0.0341922099284,0.0364435203262,0.0307110767826,0.0385571990953,Al,fcc,EAM_QuinticClampedSpline_Cai_Ye_AlCu__MO_246347493730_000
Cu,EAM_Dynamo_Cai_Ye_AlCu__MO_942551040047_002,3.61472814006,3.52456766552127,1.0506475518410168,0.7925822715098544,0.8786040316202418,0.1290326401655812,47.23097599591707,41.497325927371605,6.09433753035037,1.2758947320890783,0.6560952788300752,2.4402162696908443,2.1439838745873683,2.4124918671502265,-2.4800114473531236,6.616017840078451,-12.342373460880406,1.2850166494799133,1.259757780663269,0.04940669011731001,-0.23245896598812854,-0.12942095876416385,-2.047689882086386,3.85504994843974,3.725628989675576,1.8073600663533538,0.24364768315662977,-0.42144925846564624,0.8920866704964489,0.7626657219990065,0.8806601830958819,-100,1.889493654222962,-100,0.0780800634126,0.0828018817319,0.0729237111698,0.0844334018414,Cu,fcc,EAM_Dynamo_Cai_Ye_AlCu__MO_942551040047_002
Al,EAM_QuinticClampedSpline_Ercolessi_Adams_Al__MO_450093727396_000,4.03208289279,3.3600000012959064,0.7360157724542743,0.3880322503351856,0.5040267577082153,0.17399176105954434,65.55236362134416,33.04014529617606,11.40557118809328,0.6949175083676318,0.6094887452681025,6.608142444543613,3.3306807355138384,3.132558693017999,-1.9472102433085006,5.817778488331741,-8.779949262973647,1.3942830892854183,1.2119409743607994,-0.30650373051783264,-0.9466668233925097,-0.685125921629126,-1.7487473311211694,4.182849267856255,3.497723346227129,2.4341019367350856,-0.3639621334581293,-0.49513479574712915,1.888302592364007,1.2031767081796239,1.1418501444100004,-100,1.7609184858404163,-100,0.0588393981664,0.0633100983486,0.0543011962748,0.0646702331175,Al,fcc,EAM_QuinticClampedSpline_Ercolessi_Adams_Al__MO_450093727396_000
Al,EAM_QuinticHermiteSpline_Ercolessi_Adams_Al__MO_781138671863_000,4.0320824704,3.360000001102998,0.7361028290854669,0.3880037378371993,0.5040367682532886,0.17404954562413377,65.55234302008616,33.04079112727524,11.409355517243352,0.6949166698458952,0.6094909890158442,6.607532662496291,3.3304394465405656,3.1315470351357844,-1.9485502098273724,5.815717068046414,-8.7781079697885,1.394282984528142,1.211940974303386,-0.3063854565809324,-0.9467403058042373,-0.6851060606881916,-1.7484152753334758,4.1828489535844255,3.497742892896234,2.4344336782509495,-0.36396334010817394,-0.4951311143934879,1.8882103107298391,1.203104261213713,1.1415271428723786,-100,1.760564091875694,-100,0.058839401267,0.0633100979979,0.0543011955435,0.064670228603,Al,fcc,EAM_QuinticHermiteSpline_Ercolessi_Adams_Al__MO_781138671863_000
Pd,EAM_Dynamo_Hale_Wong_pairHybrid_PdAgH__MO_104806802344_002,3.88485926986,3.910424602748264,1.5394864255373257,1.2512788729009516,1.3473480571130763,0.14410377631818705,58.63080714082226,78.99610408815835,8.448920717575815,1.2471445083115376,0.45348772207742255,8.034323545310187,10.825030285407848,10.303463934163883,5.361764712928252,7.856988593396528,-9.289334370492497,1.3570867591892468,1.3636459621546315,0.43144887089458384,0.2241661266265797,0.2981382583434721,-1.9372215700869564,4.07126027756774,4.369398535911213,2.134038707480784,0.22085654475646233,-0.7907870834926235,2.0837228071339355,2.3818610716128474,2.3324801429857343,1.6792931583825568,2.061403402416702,-100,0.128820717052,0.138724338235,0.12541527002,0.140743946968,Pd,fcc,EAM_Dynamo_Hale_Wong_pairHybrid_PdAgH__MO_104806802344_002
Al,IMD_EAM_Schopf_AlMnPd__MO_878712978062_002,4.21070026681,3.7262808682698365,0.35084846637961753,0.1899637202043076,0.2435919689294109,0.08044237308765496,74.65570199066339,18.185529439713036,6.00548183265373,0.4838077379974821,0.09863317509679939,7.814395001874088,1.903523613346592,1.487772771592933,-0.0821631443460887,4.572489375585933,-5.185652415875648,1.4376289680214425,1.3154106499798135,-1.0474008684502476,-1.6609221713473332,-1.4122607119599306,-2.5202142131745155,4.312886904064327,2.9006261921043968,1.792672690889812,-0.7260676867268361,-2.3163476125360147,2.055967545889424,0.6437067019888935,0.39728021748714504,-100,1.5200577777341882,-100,0.0363623597419,0.0402636266277,0.0374888289832,0.0388201807456,Al,fcc,IMD_EAM_Schopf_AlMnPd__MO_878712978062_002
Cu,EAM_Dynamo_Foiles_Baskes_Universal3_Cu__MO_666348409573_001,3.61499994546,3.5400000022796085,1.043981495947136,0.7748982405798658,0.8645926590356225,0.13454162768363515,47.24163123677706,40.844767568185404,6.3559659610260475,1.2855910511397282,0.6763951107075976,3.0531667236231224,2.6397456309599727,3.426334416454668,-1.5564231341638446,6.853144954020658,-11.664387910314797,1.285091840523591,1.2641267277896402,0.04304176511480471,-0.25502356072730753,-0.14549679737495563,-2.0058816283187544,3.855275521570773,3.709778724195817,1.8493938932520184,0.25121857457354146,-0.3909778903877434,1.1161793220301464,0.9706825606069802,1.2314910064793685,-100,1.9247076642872782,-100,0.0803809418251,0.0854018306669,0.0736962872664,0.0881455088719,Cu,fcc,EAM_Dynamo_Foiles_Baskes_Universal3_Cu__MO_666348409573_001
Pd,EAM_Dynamo_Hale_Wong_pairMorse_PdAgH__MO_108983864770_002,3.88485926986,3.910424602748264,1.5394864255373257,1.2512788729009516,1.3473480571130763,0.14410377631818705,58.63080714082226,78.99610408815835,8.448920717575815,1.2471445083115376,0.45348772207742255,8.034323545310187,10.825030285407848,10.303463934163883,5.361764712928252,7.856988593396528,-9.289334370492497,1.3570867591892468,1.3636459621546315,0.43144887089458384,0.2241661266265797,0.2981382583434721,-1.9372215700869564,4.07126027756774,4.369398535911213,2.134038707480784,0.22085654475646233,-0.7907870834926235,2.0837228071339355,2.3818610716128474,2.3324801429857343,1.6792931583825568,2.061403402416702,-100,0.128820717052,0.138724338235,0.12541527002,0.140743946968,Pd,fcc,EAM_Dynamo_Hale_Wong_pairMorse_PdAgH__MO_108983864770_002
Ni,EAM_Dynamo_Mendelev_Ni__MO_832600236922_002,3.51812109053,4.3855087695729775,1.541751927684911,0.9193413777168785,1.126811561039556,0.31120527498401623,43.54440395365204,49.06633779355167,13.551248206411367,1.7581179166804368,1.0353805185711655,-0.44886709771617345,-0.5057885190619007,2.9685935525572793,-3.5305732363352833,3.7179513448927235,-6.723978724628669,1.2579270659987272,1.4783056440819042,0.432919385211311,-0.08409775909937425,0.11939201703095005,-1.1673025363587808,3.7737811979961817,3.8931732150271317,2.606478661637401,0.5642438713483221,0.0347690099437363,-100,-100,1.0880882893262522,-100,1.3131728028480316,-100,0.0877202489828,0.094267150409,0.0801354256135,0.0989939071261,Ni,fcc,EAM_Dynamo_Mendelev_Ni__MO_832600236922_002
