,elem,model,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,formation-energy,migration-energy,relaxation-volume,edt11,spedt11,spedt33,spdst11,spdst33,ln_a,ln_cohesive-energy,ln_c11,ln_c12,ln_bulk,ln_shear,ln_volume,ln_bulk*volume,ln_shear*volume,ln_formation-energy,ln_migration-energy,ln_relaxation-volume,ln_edt11,ln_spedt11,ln_spedt33,ln_spdst11,ln_spdst33,ln_neg_spdst33,a-1
0,Ag,EAM_Dynamo_Ackland_Tichy_Ag__MO_212700056563_001,4.08600010991,2.96744390103,0.776260910472,0.583814296638,0.647963167916,0.0962233069166,68.217393561,44.2023584388,6.56410319767,1.02130088715,0.981080863996,3.76695792874,2.44084997342,0.614298559482,-5.91740524231,10.5094152049,-23.4309108179,1.40756652329,1.08770094287,-0.253266590475,-0.53817233193,-0.433921423881,-2.34108367501,4.22269956988,3.788778146,1.88161589487,0.0210771942509,-0.0191003926452,1.32626776027,0.892346328407,-0.487274215789,-100.0,2.35227154156,-100.0,3.15405612577,0.244738123617
1,Ag,EAM_Dynamo_Hale_Wong_pairHybrid_PdAgH__MO_104806802344_001,4.08997422159,2.85001360205,0.775465833633,0.585922900826,0.649103878428,0.0947714664035,68.4166353367,44.409503346,6.48394485725,1.10258801534,0.648653688544,5.41131067477,3.51250270356,3.43169457971,-1.8569109067,10.1576135516,-17.7442577803,1.40853866725,1.04732376692,-0.254291354547,-0.534567066618,-0.432162515875,-2.35628690233,4.22561600174,3.79345348586,1.8693290994,0.0976601576639,-0.432856312488,1.68849133242,1.25632880436,1.23305418574,-100.0,2.31822352791,-100.0,2.87606195825,0.24450031854
2,Ag,EAM_Dynamo_Hale_Wong_pairMorse_PdAgH__MO_108983864770_001,4.08997422159,2.85001360205,0.775467158276,0.585924244801,0.649105215959,0.0947714567372,68.4166353367,44.4095948554,6.48394419592,1.10258801556,0.64932990083,5.41130981611,3.51250865824,3.39646533544,-1.87739401466,10.1161128938,-17.7079631835,1.40853866725,1.04732376692,-0.254289646359,-0.534564772845,-0.432160455296,-2.35628700433,4.22561600174,3.79345554644,1.86932899741,0.0976601578611,-0.431814369657,1.68849117374,1.25633049964,1.22273528363,-100.0,2.31412948867,-100.0,2.87401443578,0.24450031854
3,Ag,EAM_Dynamo_Williams_Mishin_Ag__MO_131620013077_001,4.09000014519,2.84999997473,0.775438154309,0.585912974442,0.649088034397,0.0947625899334,68.4179362863,44.4092637816,6.48346084039,1.10259438923,0.648198599035,5.42023896234,3.51821256219,3.46742010704,-1.82448503741,10.1820934336,-17.7398108578,1.40854500555,1.04731898541,-0.254327048986,-0.534584008212,-0.432186925256,-2.35638056856,4.22563501666,3.7934480914,1.8692544481,0.0976659384884,-0.433558149593,1.69013990347,1.25795306581,1.24341083243,-100.0,2.32063063179,-100.0,2.87581131492,0.244498768827
4,Ag,EAM_Dynamo_Williams_Mishin_CuAg__MO_128703483589_001,4.09000014519,2.84999997472,0.775432667726,0.585907443129,0.649082517995,0.0947626122985,68.4179362863,44.4088863607,6.48346237056,1.1025943857,0.648508742843,5.42028568381,3.5182128699,3.44018919294,-1.84239392691,10.1533148999,-17.7193972206,1.40854500555,1.04731898541,-0.254334124473,-0.534593448759,-0.43219542399,-2.35638033255,4.22563501666,3.79343959267,1.86925468411,0.0976659352852,-0.433079793677,1.69014852325,1.25795315327,1.23552646782,-100.0,2.31780024329,-100.0,2.8746599277,0.244498768827
5,Ag,EAM_Dynamo_Wu_Trinkle_CuAg__MO_270337113239_001,4.09006921936,2.84999689782,0.722744326882,0.550417832135,0.60785999705,0.0861632473733,68.4214027839,41.5906336944,5.8954102537,1.10272376695,0.648695838355,5.85093777254,3.55655155455,3.73947689626,-1.55168547101,11.3182110082,-19.38607546,1.40856189396,1.0473179058,-0.324699747468,-0.597077594387,-0.497810691541,-2.45151155681,4.22568568188,3.72787499034,1.77417412507,0.097783270964,-0.432791334145,1.76660195139,1.26879141095,1.31894573433,-100.0,2.42641302214,-100.0,2.96455504856,0.244494639667
7,Al,EAM_Dynamo_Angelo_Moody_NiAlH__MO_418978237058_001,4.05000005648,3.35999999707,0.711631860751,0.387258926297,0.495383237781,0.162186467227,66.4301277792,32.9083717855,10.774067742,0.524445437532,0.179874914234,5.54029686368,2.74456980363,1.85252715696,-0.90522543351,3.4619143952,-5.03988006904,1.39871689506,1.2119409731,-0.340194550793,-0.948661749476,-0.702423598225,-1.81900857341,4.19615068519,3.49372708697,2.37714211178,-0.645413884141,-1.71549359058,1.71204808482,1.00962434269,0.616550737709,-100.0,1.24182172947,-100.0,1.61738228597,0.246913576804
8,Al,EAM_Dynamo_Cai_Ye_AlCu__MO_942551040047_001,4.04976352572,3.31831722205,0.562645242817,0.441431579214,0.481836133748,0.0606068318016,66.4184893713,32.0028281281,4.02541421384,0.717322476044,0.426153907198,4.28948806332,2.06683028038,2.03102293023,-1.03803005236,9.13712555518,-16.182244598,1.3986584907,1.1994577936,-0.575105968781,-0.817732244416,-0.730151194212,-2.80334765626,4.19597547211,3.4658242779,1.39262781585,-0.33222978211,-0.852954713457,1.45616739326,0.726016168175,0.708539572651,-100.0,2.21234584532,-100.0,2.78391462871,0.246927998054
9,Al,EAM_Dynamo_Ercolessi_Adams_Al__MO_123629422045_001,4.03208199832,3.36000000131,0.736146300578,0.388004508574,0.504051772575,0.174070896002,65.5523199953,33.04176309,11.4107510766,0.692982518706,0.609933692489,6.62295988428,3.33831470226,3.17399146695,-1.99896340594,5.91159947915,-8.94715882342,1.39428286745,1.21194097437,-0.306326402048,-0.946738319391,-0.685076292823,-1.74829261447,4.18284860234,3.49777230952,2.43455598788,-0.366750505643,-0.494405028561,1.89054238245,1.20546609948,1.15498993368,-100.0,1.77691643425,-100.0,2.19133603199,0.248010829248
10,Al,EAM_Dynamo_Landa_Wynblatt_AlPb__MO_699137396381_001,4.03103608609,3.35928012221,0.6735018907,0.355189062679,0.461293338686,0.15915641401,65.5013208912,30.2153230022,10.424955346,0.67195708454,0.589569879116,7.05685822998,3.25528170686,3.45709439845,-1.38819252527,6.40496504862,-8.81681229106,1.39402343624,1.21172670168,-0.395264475861,-1.03510506035,-0.773721128831,-1.8378678244,4.18207030872,3.40834917988,2.34420248432,-0.397560802789,-0.528362026393,1.95399994254,1.1802788178,1.24042846703,-100.0,1.85707347844,-100.0,2.17666038644,0.248075179344
