,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,vacancy-formation-energy,vacancy-migration-energy,vacancy-relaxation-volume,edt11,spedt11,spedt33
a,1.00,,,,,,,,,,,,,,
cohesive-energy,0.04,1.00,,,,,,,,,,,,,
c11,-0.80,-0.13,1.00,,,,,,,,,,,,
c12,-0.76,-0.18,0.90,1.00,,,,,,,,,,,
bulk,-0.80,-0.16,0.97,0.98,1.00,,,,,,,,,,
shear,-0.67,-0.04,0.88,0.59,0.74,1.00,,,,,,,,,
volume,0.99,0.05,-0.76,-0.72,-0.76,-0.63,1.00,,,,,,,,
bulk*volume,-0.14,-0.27,0.59,0.74,0.69,0.29,-0.10,1.00,,,,,,,
shear*volume,-0.35,-0.18,0.65,0.29,0.47,0.89,-0.33,0.19,1.00,,,,,,
vacancy-formation-energy,-0.26,-0.65,0.47,0.56,0.53,0.27,-0.21,0.59,0.18,1.00,,,,,
vacancy-migration-energy,-0.19,-0.53,0.38,0.53,0.47,0.13,-0.17,0.60,0.10,0.57,1.00,,,,
vacancy-relaxation-volume,0.55,0.37,-0.67,-0.75,-0.73,-0.42,0.49,-0.55,-0.15,-0.73,-0.52,1.00,,,
edt11,0.13,0.33,-0.19,-0.16,-0.17,-0.17,0.08,-0.05,-0.07,-0.46,-0.25,0.72,1.00,,
spedt11,0.21,-0.28,-0.34,-0.27,-0.31,-0.35,0.18,-0.21,-0.20,0.14,0.07,0.36,0.35,1.00,
spedt33,0.39,0.10,-0.75,-0.69,-0.74,-0.64,0.35,-0.69,-0.51,-0.34,-0.43,0.59,0.29,0.71,1.00
